problem,candidate_vertex_graph1,revealed_vertex_graph2,baseline_h0_accuracy,baseline_final_unseeded_accuracy,outcome_h0_accuracy,outcome_final_unseeded_accuracy,outcome_final_all_accuracy,outcome_accuracy_improvement,outcome_success,sgm_runtime_seconds,sgm_n_iter,sgm_converged,sgm_objective_score
paper,100,79,0.08391608391608392,0.4090909090909091,0.08421052631578947,0.6070175438596491,0.6266666666666667,0.19792663476874,False,0.27686379093211144,30,False,968.0
paper,101,263,0.08391608391608392,0.4090909090909091,0.08771929824561403,0.9859649122807017,0.9866666666666667,0.5768740031897925,True,0.27754250005818903,30,False,1252.0
paper,103,31,0.08391608391608392,0.4090909090909091,0.11228070175438597,0.9754385964912281,0.9766666666666667,0.566347687400319,True,0.27931370900478214,30,False,1252.0
paper,104,240,0.08391608391608392,0.4090909090909091,0.0912280701754386,0.4631578947368421,0.49,0.054066985645932986,False,0.28248583304230124,30,False,902.0
paper,105,222,0.08391608391608392,0.4090909090909091,0.0912280701754386,0.9754385964912281,0.9766666666666667,0.566347687400319,True,0.27692770899739116,30,False,1252.0
paper,106,280,0.08391608391608392,0.4090909090909091,0.11228070175438597,0.9824561403508771,0.9833333333333333,0.573365231259968,True,0.18829199997708201,20,True,1252.0
paper,107,81,0.08391608391608392,0.4090909090909091,0.10877192982456141,0.9859649122807017,0.9866666666666667,0.5768740031897925,True,0.27524662495125085,30,False,1252.0
paper,108,96,0.08391608391608392,0.4090909090909091,0.08771929824561403,0.25263157894736843,0.29,-0.1564593301435407,False,0.2530747080454603,27,True,812.0
paper,109,14,0.08391608391608392,0.4090909090909091,0.08771929824561403,0.8771929824561403,0.8833333333333333,0.4681020733652312,False,0.27743024996016175,30,False,1164.0
paper,110,109,0.08391608391608392,0.4090909090909091,0.08771929824561403,0.3543859649122807,0.38666666666666666,-0.05470494417862842,False,0.24382783297915012,26,True,856.0
paper,111,210,0.08391608391608392,0.4090909090909091,0.09824561403508772,0.9824561403508771,0.9833333333333333,0.573365231259968,True,0.18754375004209578,20,True,1252.0
paper,112,217,0.08391608391608392,0.4090909090909091,0.10526315789473684,0.9754385964912281,0.9766666666666667,0.566347687400319,True,0.21636058297008276,23,True,1252.0
paper,113,120,0.08391608391608392,0.4090909090909091,0.10877192982456141,0.9859649122807017,0.9866666666666667,0.5768740031897925,True,0.2742049170192331,30,False,1252.0
paper,115,211,0.08391608391608392,0.4090909090909091,0.09824561403508772,0.9859649122807017,0.9866666666666667,0.5768740031897925,True,0.2761374169494957,30,False,1252.0
paper,116,272,0.08391608391608392,0.4090909090909091,0.0912280701754386,0.5578947368421052,0.58,0.1488038277511961,False,0.2785512920236215,30,False,960.0
paper,117,26,0.08391608391608392,0.4090909090909091,0.09473684210526316,0.2807017543859649,0.31666666666666665,-0.12838915470494422,False,0.28261541691608727,30,False,816.0
paper,118,285,0.08391608391608392,0.4090909090909091,0.09824561403508772,0.35789473684210527,0.39,-0.05119617224880385,False,0.28148416604381055,30,False,854.0
paper,119,199,0.08391608391608392,0.4090909090909091,0.10175438596491228,0.9859649122807017,0.9866666666666667,0.5768740031897925,True,0.2793047910090536,30,False,1252.0
paper,120,62,0.08391608391608392,0.4090909090909091,0.09824561403508772,0.9859649122807017,0.9866666666666667,0.5768740031897925,True,0.2774269579676911,30,False,1252.0
paper,121,284,0.08391608391608392,0.4090909090909091,0.10175438596491228,0.9859649122807017,0.9866666666666667,0.5768740031897925,True,0.27615320798940957,30,False,1252.0
paper,122,4,0.08391608391608392,0.4090909090909091,0.11228070175438597,0.9859649122807017,0.9866666666666667,0.5768740031897925,True,0.28049641591496766,30,False,1252.0
paper,123,267,0.08391608391608392,0.4090909090909091,0.08070175438596491,0.34385964912280703,0.37666666666666665,-0.06523125996810208,False,0.2278960410039872,24,True,840.0
paper,124,149,0.08391608391608392,0.4090909090909091,0.11228070175438597,0.9859649122807017,0.9866666666666667,0.5768740031897925,True,0.27449733403045684,30,False,1252.0
paper,125,88,0.08391608391608392,0.4090909090909091,0.07368421052631578,0.3824561403508772,0.41333333333333333,-0.0266347687400319,False,0.27939720801077783,30,False,858.0
paper,127,276,0.08391608391608392,0.4090909090909091,0.08771929824561403,0.2771929824561403,0.31333333333333335,-0.1318979266347688,False,0.21099449996836483,22,True,824.0
paper,128,57,0.08391608391608392,0.4090909090909091,0.10526315789473684,0.35789473684210527,0.39,-0.05119617224880385,False,0.2376482910476625,25,True,872.0
paper,129,134,0.08391608391608392,0.4090909090909091,0.10175438596491228,0.3543859649122807,0.38666666666666666,-0.05470494417862842,False,0.27532337501179427,29,True,854.0
